INDEX,Class,Time,Location,Shape,Margin,Elevation,Size,Color,Photo_Index
1,A,During,Hall,1,1,1,1,Yello,1
2,A,During,Hall,1,1,1,1,Yello,2
3,A,During,Hall,1,1,5,3,NP,3
4,A,During,Hall,1,1,1,1,NP,4
5,A,During,Hall,1,1,1,2,Yello,5
6,A,During,Hall,1,2,5,2,NP,6
7,A,During,Hall,1,1,1,2,NP,7
8,A,During,Hall,1,2,1,2,NP,8
9,A,During,Hall,1,1,1,1,Yello,9
10,A,During,Hall,1,1,5,3,NP,10
11,A,During,Hall,1,1,1,2,NP,11
12,A,During,Hall,1,1,1,1,Yello,12
13,A,During,Hall,1,1,1,2,Yello,13
14,A,During,Hall,1,1,1,3,NP,14
15,A,During,Hall,1,1,1,2,NP,15
16,A,During,Hall,1,1,1,2,Yello,16
17,A,During,Hall,1,1,1,2,NP,17
18,A,During,Hall,1,1,5,2,Yello,18
19,A,During,Hall,1,1,1,3,NP,19
20,A,During,Window,1,1,1,2,Yello,1
21,A,During,Window,1,1,1,1,Yello,2
22,A,During,Window,1,1,1,1,Yello,3
23,A,During,Window,4,6,1,1,NP,4
24,A,During,Window,1,1,1,1,Yello,5
25,A,During,Window,1,1,1,2,NP,6
26,A,During,Window,1,2,1,2,NP,7
27,A,During,Window,1,1,1,1,Yello,8
28,A,During,Window,1,4,2,4,NP,9
29,A,During,Window,3,4,5,4,Yello,10
30,A,During,Window,3,2,4,2,NP,11
31,A,During,Window,2,2,1,4,NP,12
32,A,During,Window,1,1,1,2,Yello,13
33,A,During,Center,1,1,1,2,NP,1
34,A,During,Center,1,1,1,1,NP,2
35,A,During,Center,1,1,5,3,NP,3
36,A,During,Center,1,1,5,2,NP,4
37,A,During,Center,1,1,1,1,Yello,5
38,A,During,Center,1,1,1,2,Yello,6
39,A,During,Center,1,1,1,2,NP,7
40,A,During,Center,1,1,1,1,Yello,8
41,A,During,Center,1,1,1,1,NP,9
42,A,During,Center,1,1,1,1,Yello,10
43,A,During,Center,1,1,1,3,NP,11
44,A,After,Center,1,1,1,1,Yello,1
45,A,After,Center,1,1,1,1,Yello,2
46,A,After,Hall,1,1,1,3,NP,1
47,A,After,Hall,1,1,1,2,Brown,2
48,A,After,Hall,1,1,1,1,NP,3
49,A,After,Hall,1,1,1,2,Yello,4
50,A,After,Hall,2,5,4,1,Brown,5
51,A,After,Hall,3,2,1,2,Caramel,6
52,A,After,Hall,1,1,1,0,NP,7
53,A,After,Hall,1,1,1,1,NP,8
54,A,After,Window,1,2,1,4,NP,1
55,A,After,Window,2,6,1,2,Brown,2
56,A,After,Window,4,6,1,3,Cyan,3
57,A,After,Window,1,1,1,3,NP,4
58,A,After,Window,1,1,1,1,NP,5
59,A,After,Window,1,1,1,1,Yello,6
60,A,After,Window,1,1,1,2,Yello,7
61,A,After,Window,1,1,1,3,NP,8
62,A,After,Window,1,1,1,0,NP,9
63,A,After,Window,1,6,1,3,DarkCyan,10
64,A,After,Window,3,6,1,2,NP,11
65,A,After,Window,1,6,1,1,DarkCyan,12
66,A,After,Window,1,1,1,1,Yello,13
67,A,After,Window,1,1,1,2,NP,14
68,A,After,Window,3,6,1,3,DarkCyan,15
69,A,After,Window,1,1,3,2,Yello,16
70,B,After,Window,1,5,1,2,Brown,1
71,B,After,Window,3,2,1,3,NP,2
72,B,After,Window,1,1,1,1,NP,3
73,B,After,Window,1,1,1,3,NP,4
74,B,After,Window,1,6,1,1,NP,5
75,B,After,Window,1,1,1,2,Yello,6
76,B,After,Window,1,5,1,1,DarkBrown,7
77,B,After,Window,1,1,1,1,NP,8
78,B,After,Window,1,4,1,4,NP,9
79,B,After,Window,2,3,3,2,NP,10
80,B,After,Center,1,1,1,2,NP,1
81,B,After,Center,1,1,1,0,NP,2
82,B,After,Center,1,1,1,0,NP,3
83,B,After,Center,1,1,1,2,Yello,4
84,B,After,Center,1,1,1,0,NP,5
85,B,After,Hall,1,4,5,4,Pink,1
86,B,After,Hall,1,1,1,3,NP,2
87,B,After,Hall,1,1,1,0,NP,3
88,B,After,Hall,1,1,1,2,NP,4
89,B,After,Hall,1,1,1,1,Yello,5
90,B,After,Hall,1,2,5,4,NP,6
91,B,After,Hall,1,5,1,3,White,7
92,B,During,Window,1,4,1,3,Orange,1
93,B,During,Window,1,4,1,3,NP,2
94,B,During,Window,1,4,1,3,NP,3
95,B,During,Window,1,1,1,3,NP,4
96,B,During,Window,1,4,1,3,Orange,5
97,B,During,Window,1,1,1,1,NP,6
98,B,During,Window,1,4,1,4,NP,7
99,B,During,Window,1,1,1,1,NP,8
100,B,During,Window,1,4,1,3,Orange,9
101,B,During,Window,1,2,1,3,Orange,10
102,B,During,Window,1,1,1,1,Yello,11
103,B,During,Window,1,1,1,1,Yello,12
104,B,During,Window,1,1,1,1,Yello,13
105,B,During,Window,1,1,1,1,Yello,14
106,B,During,Window,2,4,1,4,White,15
107,B,During,Window,1,1,1,2,Orange,16
108,B,During,Window,1,1,1,1,Yello,17
109,B,During,Window,1,1,1,1,Yello,18
110,B,During,Window,1,1,1,2,Yello,19
111,B,During,Window,1,1,1,0,NP,20
112,B,During,Window,1,4,1,4,NP,21
113,B,During,Window,1,1,1,1,NP,22
114,B,During,Window,1,1,1,1,Yello,23
115,B,During,Window,1,1,1,2,NP,24
116,B,During,Window,1,1,1,2,NP,25
117,B,During,Window,1,1,5,2,NP,26
118,B,During,Window,1,1,1,1,Yello,27
119,B,During,Window,1,1,1,0,NP,28
120,B,During,Window,1,1,1,0,NP,29
121,B,During,Window,1,2,1,3,NP,30
122,B,During,Window,2,3,5,4,NP,31
123,B,During,Window,3,2,1,2,Brown,32
124,B,During,Window,1,1,1,1,Yello,33
125,B,During,Window,1,1,1,3,NP,34
126,B,During,Window,1,1,1,4,NP,35
127,B,During,Window,1,1,1,3,NP,36
128,B,During,Window,1,5,1,3,MP,37
129,B,During,Window,1,1,1,3,NP,38
130,B,During,Window,1,1,1,1,Yello,39
131,B,During,Window,1,1,1,0,NP,40
132,B,During,Window,1,4,1,3,Orange,41
133,B,During,Window,4,6,1,3,Cyan,42
134,B,During,Window,1,4,5,4,Pink,43
135,B,During,Window,1,1,1,1,NP,44
136,B,During,Hall,1,1,1,1,Yello,1
137,B,During,Hall,1,1,1,2,NP,2
138,B,During,Hall,1,1,1,1,Yello,3
139,B,During,Hall,1,1,1,1,NP,4
140,B,During,Hall,1,1,1,2,Yello,5
141,B,During,Hall,3,3,3,3,NP,6
142,B,During,Hall,3,3,3,3,NP,7
143,B,During,Hall,1,1,1,2,Yello,8
144,B,During,Hall,1,1,1,2,Yello,9
145,B,During,Hall,1,1,1,1,NP,10
146,B,During,Hall,1,1,5,3,NP,11
147,B,During,Hall,1,1,1,1,NP,12
148,B,During,Hall,1,1,1,1,Yello,13
149,B,During,Hall,1,1,1,0,NP,14
150,B,During,Hall,1,1,1,0,NP,15
151,B,During,Hall,1,1,1,3,NP,16
152,B,During,Hall,1,1,1,1,NP,17
153,B,During,Hall,1,1,1,0,NP,18
154,B,During,Hall,1,1,1,1,Yello,19
155,B,During,Hall,1,5,1,2,White,20
156,B,During,Hall,1,1,1,2,Yello,21
157,B,During,Center,1,1,1,0,NP,1
158,B,During,Center,1,1,1,0,NP,2
159,B,During,Center,1,1,1,0,NP,3
160,B,During,Center,1,1,1,0,NP,4
161,B,During,Center,1,1,1,1,NP,5
162,B,During,Center,1,1,1,0,NP,6
163,B,During,Center,1,1,1,3,NP,7
164,B,During,Center,1,1,1,3,Yello,8
165,B,During,Center,1,1,1,1,NP,9
166,B,During,Center,1,6,1,1,Cyan,10
167,B,During,Center,1,1,1,1,NP,11
168,B,During,Center,1,1,1,1,NP,12
169,B,During,Center,1,1,1,2,Yello,13
170,B,During,Center,1,1,1,1,NP,14
171,B,During,Center,1,1,1,1,Yello,15
172,B,During,Center,1,1,1,2,NP,16
173,B,During,Center,1,1,1,3,NP,17
174,B,During,Center,1,1,1,2,NP,18
